OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
2001,2014-10-11T15:00:00.000Z,IR,Irajá,O3,Inadequada,105
2002,2014-10-11T15:00:00.000Z,BG,Bangu,O3,Inadequada,143
2003,2014-10-11T15:00:00.000Z,SP,Tijuca,PI,Boa,50
2004,2014-10-11T15:00:00.000Z,CA,Centro,O3,Regular,68
2005,2014-10-11T15:00:00.000Z,AV,Copacabana,PI,Regular,69
2006,2014-10-11T15:00:00.000Z,CG,Campo Grande,O3,Regular,84
2007,2014-10-11T15:00:00.000Z,SC,São Cristóvão,O3,Regular,85
2008,2014-10-11T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,85
2009,2014-10-12T15:00:00.000Z,IR,Irajá,O3,Inadequada,125
2010,2014-10-12T15:00:00.000Z,BG,Bangu,O3,Inadequada,147
2011,2014-10-12T15:00:00.000Z,CA,Centro,PI,Boa,42
2012,2014-10-12T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,55
2013,2014-10-12T15:00:00.000Z,SP,Tijuca,PI,Regular,57
2014,2014-10-12T15:00:00.000Z,AV,Copacabana,PI,Regular,58
2015,2014-10-12T15:00:00.000Z,CG,Campo Grande,O3,Regular,77
2016,2014-10-12T15:00:00.000Z,SC,São Cristóvão,O3,Regular,89
2017,2014-10-13T15:00:00.000Z,BG,Bangu,O3,Inadequada,187
2018,2014-10-13T15:00:00.000Z,IR,Irajá,O3,Má,208
2019,2014-10-13T15:00:00.000Z,CA,Centro,PI,Regular,56
2020,2014-10-13T15:00:00.000Z,AV,Copacabana,PI,Regular,68
2021,2014-10-13T15:00:00.000Z,SP,Tijuca,PI,Regular,69
2022,2014-10-13T15:00:00.000Z,CG,Campo Grande,O3,Regular,81
2023,2014-10-13T15:00:00.000Z,SC,São Cristóvão,O3,Regular,85
2024,2014-10-13T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,91
2025,2014-10-14T15:00:00.000Z,CA,Centro,PI,Regular,57
2026,2014-10-14T15:00:00.000Z,CG,Campo Grande,O3,Regular,65
2027,2014-10-14T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,65
2028,2014-10-14T15:00:00.000Z,SC,São Cristóvão,O3,Regular,67
2029,2014-10-14T15:00:00.000Z,AV,Copacabana,PI,Regular,67
2030,2014-10-14T15:00:00.000Z,SP,Tijuca,NO2,Regular,78
2031,2014-10-14T15:00:00.000Z,IR,Irajá,O3,Regular,84
2032,2014-10-14T15:00:00.000Z,BG,Bangu,O3,Regular,89
2033,2014-10-15T15:00:00.000Z,CA,Centro,PI,Boa,46
2034,2014-10-15T15:00:00.000Z,CG,Campo Grande,O3,Boa,49
2035,2014-10-15T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,54
2036,2014-10-15T15:00:00.000Z,SC,São Cristóvão,PI,Regular,57
2037,2014-10-15T15:00:00.000Z,SP,Tijuca,PI,Regular,60
2038,2014-10-15T15:00:00.000Z,IR,Irajá,PI,Regular,60
2039,2014-10-15T15:00:00.000Z,AV,Copacabana,PI,Regular,66
2040,2014-10-15T15:00:00.000Z,BG,Bangu,O3,Regular,78
2041,2014-10-16T15:00:00.000Z,CA,Centro,PI,Boa,32
2042,2014-10-16T15:00:00.000Z,SC,São Cristóvão,O3,Boa,43
2043,2014-10-16T15:00:00.000Z,SP,Tijuca,PI,Boa,43
2044,2014-10-16T15:00:00.000Z,AV,Copacabana,PI,Regular,55
2045,2014-10-16T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,56
2046,2014-10-16T15:00:00.000Z,CG,Campo Grande,O3,Regular,61
2047,2014-10-16T15:00:00.000Z,IR,Irajá,O3,Regular,62
2048,2014-10-16T15:00:00.000Z,BG,Bangu,O3,Regular,86
2049,2014-10-17T15:00:00.000Z,BG,Bangu,O3,Inadequada,101
2050,2014-10-17T15:00:00.000Z,CA,Centro,PI,Regular,53
2051,2014-10-17T15:00:00.000Z,CG,Campo Grande,O3,Regular,56
2052,2014-10-17T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,56
2053,2014-10-17T15:00:00.000Z,SP,Tijuca,PI,Regular,59
2054,2014-10-17T15:00:00.000Z,SC,São Cristóvão,O3,Regular,60
2055,2014-10-17T15:00:00.000Z,AV,Copacabana,PI,Regular,66
2056,2014-10-17T15:00:00.000Z,IR,Irajá,O3,Regular,86
2057,2014-10-18T15:00:00.000Z,BG,Bangu,O3,Inadequada,106
2058,2014-10-18T15:00:00.000Z,CG,Campo Grande,O3,Boa,48
2059,2014-10-18T15:00:00.000Z,SP,Tijuca,PI,Regular,56
2060,2014-10-18T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,64
2061,2014-10-18T15:00:00.000Z,AV,Copacabana,PI,Regular,65
2062,2014-10-18T15:00:00.000Z,SC,São Cristóvão,O3,Regular,71
2063,2014-10-18T15:00:00.000Z,IR,Irajá,O3,Regular,84
2064,2014-10-18T15:00:00.000Z,CA,Centro,Indisponivel,Indisponivel,
2065,2014-10-19T15:00:00.000Z,IR,Irajá,O3,Inadequada,152
2066,2014-10-19T15:00:00.000Z,BG,Bangu,O3,Má,210
2067,2014-10-19T15:00:00.000Z,SP,Tijuca,PI,Regular,61
2068,2014-10-19T15:00:00.000Z,AV,Copacabana,PI,Regular,62
2069,2014-10-19T15:00:00.000Z,SC,São Cristóvão,O3,Regular,64
2070,2014-10-19T15:00:00.000Z,CG,Campo Grande,O3,Regular,86
2071,2014-10-19T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,90
2072,2014-10-19T15:00:00.000Z,CA,Centro,Indisponivel,Indisponivel,
2073,2014-10-20T16:00:00.000Z,CG,Campo Grande,O3,Boa,50
2074,2014-10-20T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,58
2075,2014-10-20T16:00:00.000Z,AV,Copacabana,PI,Regular,58
2076,2014-10-20T16:00:00.000Z,SC,São Cristóvão,O3,Regular,63
2077,2014-10-20T16:00:00.000Z,IR,Irajá,O3,Regular,90
2078,2014-10-20T16:00:00.000Z,BG,Bangu,O3,Regular,99
2079,2014-10-20T16:00:00.000Z,SP,Tijuca,Indisponivel,Indisponivel,
2080,2014-10-20T16:00:00.000Z,CA,Centro,Indisponivel,Indisponivel,
2081,2014-10-21T16:00:00.000Z,CG,Campo Grande,O3,Boa,35
2082,2014-10-21T16:00:00.000Z,SC,São Cristóvão,O3,Boa,38
2083,2014-10-21T16:00:00.000Z,IR,Irajá,O3,Boa,40
2084,2014-10-21T16:00:00.000Z,AV,Copacabana,PI,Boa,41
2085,2014-10-21T16:00:00.000Z,BG,Bangu,O3,Boa,47
2086,2014-10-21T16:00:00.000Z,SP,Tijuca,CO,Boa,5
2087,2014-10-21T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,50
2088,2014-10-21T16:00:00.000Z,CA,Centro,Indisponivel,Indisponivel,
2089,2014-10-22T16:00:00.000Z,CA,Centro,PI,Boa,19
2090,2014-10-22T16:00:00.000Z,SC,São Cristóvão,O3,Boa,24
2091,2014-10-22T16:00:00.000Z,CG,Campo Grande,O3,Boa,25
2092,2014-10-22T16:00:00.000Z,SP,Tijuca,NO2,Boa,34
2093,2014-10-22T16:00:00.000Z,AV,Copacabana,PI,Boa,35
2094,2014-10-22T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,35
2095,2014-10-22T16:00:00.000Z,BG,Bangu,O3,Boa,36
2096,2014-10-22T16:00:00.000Z,IR,Irajá,NO2,Boa,37
2097,2014-10-23T16:00:00.000Z,SP,Tijuca,NO2,Boa,24
2098,2014-10-23T16:00:00.000Z,CA,Centro,PI,Boa,25
2099,2014-10-23T16:00:00.000Z,AV,Copacabana,PI,Boa,35
2100,2014-10-23T16:00:00.000Z,SC,São Cristóvão,O3,Boa,36
2101,2014-10-23T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,48
2102,2014-10-23T16:00:00.000Z,IR,Irajá,O3,Boa,49
2103,2014-10-23T16:00:00.000Z,BG,Bangu,O3,Regular,62
2104,2014-10-23T16:00:00.000Z,CG,Campo Grande,O3,Regular,62
2105,2014-10-24T16:00:00.000Z,CA,Centro,PI,Boa,28
2106,2014-10-24T16:00:00.000Z,SP,Tijuca,PI,Boa,30
2107,2014-10-24T16:00:00.000Z,AV,Copacabana,PI,Boa,39
2108,2014-10-24T16:00:00.000Z,SC,São Cristóvão,O3,Boa,42
2109,2014-10-24T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,63
2110,2014-10-24T16:00:00.000Z,IR,Irajá,O3,Regular,67
2111,2014-10-24T16:00:00.000Z,CG,Campo Grande,O3,Regular,75
2112,2014-10-24T16:00:00.000Z,BG,Bangu,O3,Regular,98
2113,2014-10-25T16:00:00.000Z,CA,Centro,PI,Boa,32
2114,2014-10-25T16:00:00.000Z,SC,São Cristóvão,PI,Boa,40
2115,2014-10-25T16:00:00.000Z,SP,Tijuca,PI,Boa,44
2116,2014-10-25T16:00:00.000Z,AV,Copacabana,PI,Boa,46
2117,2014-10-25T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,52
2118,2014-10-25T16:00:00.000Z,IR,Irajá,O3,Regular,61
2119,2014-10-25T16:00:00.000Z,CG,Campo Grande,O3,Regular,66
2120,2014-10-25T16:00:00.000Z,BG,Bangu,O3,Regular,99
2121,2014-10-26T16:00:00.000Z,CA,Centro,O3,Boa,48
2122,2014-10-26T16:00:00.000Z,SP,Tijuca,PI,Boa,48
2123,2014-10-26T16:00:00.000Z,CG,Campo Grande,O3,Regular,54
2124,2014-10-26T16:00:00.000Z,AV,Copacabana,PI,Regular,55
2125,2014-10-26T16:00:00.000Z,SC,São Cristóvão,O3,Regular,56
2126,2014-10-26T16:00:00.000Z,BG,Bangu,PI,Regular,64
2127,2014-10-26T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,67
2128,2014-10-26T16:00:00.000Z,IR,Irajá,O3,Regular,74
2129,2014-10-27T16:00:00.000Z,CA,Centro,O3,Boa,31
2130,2014-10-27T16:00:00.000Z,SP,Tijuca,O3,Boa,31
2131,2014-10-27T16:00:00.000Z,AV,Copacabana,PI,Boa,38
2132,2014-10-27T16:00:00.000Z,CG,Campo Grande,O3,Boa,43
2133,2014-10-27T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,47
2134,2014-10-27T16:00:00.000Z,BG,Bangu,O3,Regular,60
2135,2014-10-27T16:00:00.000Z,SC,São Cristóvão,O3,Regular,61
2136,2014-10-27T16:00:00.000Z,IR,Irajá,O3,Regular,65
2137,2014-10-28T16:00:00.000Z,CA,Centro,PI,Boa,25
2138,2014-10-28T16:00:00.000Z,SP,Tijuca,NO2,Boa,36
2139,2014-10-28T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,36
2140,2014-10-28T16:00:00.000Z,SC,São Cristóvão,O3,Boa,37
2141,2014-10-28T16:00:00.000Z,CG,Campo Grande,O3,Boa,41
2142,2014-10-28T16:00:00.000Z,AV,Copacabana,PI,Boa,43
2143,2014-10-28T16:00:00.000Z,IR,Irajá,O3,Boa,47
2144,2014-10-28T16:00:00.000Z,BG,Bangu,O3,Regular,62
2145,2014-10-29T16:00:00.000Z,CA,Centro,PI,Boa,25
2146,2014-10-29T16:00:00.000Z,AV,Copacabana,PI,Boa,43
2147,2014-10-29T16:00:00.000Z,SP,Tijuca,O3,Boa,50
2148,2014-10-29T16:00:00.000Z,SC,São Cristóvão,O3,Regular,51
2149,2014-10-29T16:00:00.000Z,CG,Campo Grande,O3,Regular,65
2150,2014-10-29T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,67
2151,2014-10-29T16:00:00.000Z,IR,Irajá,O3,Regular,68
2152,2014-10-29T16:00:00.000Z,BG,Bangu,O3,Regular,87
2153,2014-10-30T16:00:00.000Z,CA,Centro,PI,Boa,36
2154,2014-10-30T16:00:00.000Z,SC,São Cristóvão,O3,Boa,47
2155,2014-10-30T16:00:00.000Z,AV,Copacabana,PI,Regular,53
2156,2014-10-30T16:00:00.000Z,SP,Tijuca,O3,Regular,57
2157,2014-10-30T16:00:00.000Z,CG,Campo Grande,O3,Regular,59
2158,2014-10-30T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,63
2159,2014-10-30T16:00:00.000Z,IR,Irajá,O3,Regular,70
2160,2014-10-30T16:00:00.000Z,BG,Bangu,O3,Regular,82
2161,2014-10-31T16:00:00.000Z,CA,Centro,PI,Boa,46
2162,2014-10-31T16:00:00.000Z,CG,Campo Grande,O3,Regular,51
2163,2014-10-31T16:00:00.000Z,SC,São Cristóvão,O3,Regular,56
2164,2014-10-31T16:00:00.000Z,SP,Tijuca,O3,Regular,62
2165,2014-10-31T16:00:00.000Z,AV,Copacabana,PI,Regular,63
2166,2014-10-31T16:00:00.000Z,IR,Irajá,O3,Regular,67
2167,2014-10-31T16:00:00.000Z,BG,Bangu,O3,Regular,71
2168,2014-10-31T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,73
2169,2014-11-01T16:00:00.000Z,CA,Centro,PI,Boa,43
2170,2014-11-01T16:00:00.000Z,AV,Copacabana,PI,Regular,65
2171,2014-11-01T16:00:00.000Z,CG,Campo Grande,O3,Regular,66
2172,2014-11-01T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,77
2173,2014-11-01T16:00:00.000Z,IR,Irajá,O3,Regular,85
2174,2014-11-01T16:00:00.000Z,SC,São Cristóvão,O3,Regular,87
2175,2014-11-01T16:00:00.000Z,BG,Bangu,O3,Regular,90
2176,2014-11-01T16:00:00.000Z,SP,Tijuca,O3,Regular,93
2177,2014-11-02T16:00:00.000Z,CA,Centro,PI,Boa,44
