ADAMANTINA,3500105,PRESIDENTE PRUDENTE,SBDN,83716,77.38
ADAMANTINA,3500105,ARACATUBA,SBAU,83672,81.7
ADAMANTINA,3500105,URUBUPUNGA,SBUP,83617,101.47
ADOLFO,3500204,LINS,SBLN,83674,43.39
ADOLFO,3500204,SAO JOSE DO RIO PRET,SBSR,-,60.54
ADOLFO,3500204,ARACATUBA,SBAU,83672,82.39
AGUAÍ,3500303,PIRASSUNUNGA,SBYS,83671,30.2
AGUAÍ,3500303,POCOS DE CALDAS (AEROPORTO),SBPC,83644,53.25
AGUAÍ,3500303,SAO CARLOS,SBSA,83726,85.64
ÁGUAS DA PRATA,3500402,POCOS DE CALDAS (AEROPORTO),SBPC,83644,22.78
ÁGUAS DA PRATA,3500402,PIRASSUNUNGA,SBYS,83671,60.37
ÁGUAS DA PRATA,3500402,SAO CARLOS,SBSA,83726,117.09
ÁGUAS DE LINDÓIA,3500501,SAO JOSE DOS CAMPOS (AEROPORTO),SBSJ,83829,81.63
ÁGUAS DE LINDÓIA,3500501,CAMPINAS (AEROPORTO),SBKP,83721,85.25
ÁGUAS DE LINDÓIA,3500501,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,85.69
ÁGUAS DE SANTA BÁRBARA,3500550,BAURU (AEROPORTO),SBBU,83722,62.91
ÁGUAS DE SANTA BÁRBARA,3500550,MARILHA - SP,SBML,-,101.17
ÁGUAS DE SANTA BÁRBARA,3500550,ASSIS - S,SBAS,-,124.39
ÁGUAS DE SÃO PEDRO,3500600,SAO CARLOS,SBSA,83726,64.64
ÁGUAS DE SÃO PEDRO,3500600,CAMPINAS (AEROPORTO),SBKP,83721,89.2
ÁGUAS DE SÃO PEDRO,3500600,PIRASSUNUNGA,SBYS,83671,90.49
AGUDOS,3500709,BAURU (AEROPORTO),SBBU,83722,28.26
AGUDOS,3500709,MARILHA - SP,SBML,-,94.01
AGUDOS,3500709,GAVIAO PEIXOTO,SBGP,-,115.25
ALAMBARI,3500758,SAO ROQUE,SBRQ,83058,76.3
ALAMBARI,3500758,CAMPINAS (AEROPORTO),SBKP,83721,97.52
ALAMBARI,3500758,SAO PAULO (AEROPORTO CONGONHAS),SBSP,83780,126.43
ALFREDO MARCONDES,3500808,PRESIDENTE PRUDENTE,SBDN,83716,27.68
ALFREDO MARCONDES,3500808,ASSIS - S,SBAS,-,124.61
ALFREDO MARCONDES,3500808,URUBUPUNGA,SBUP,83617,127.22
ALTAIR,3500907,FRONTERA-MG,SBFT,-,29.71
ALTAIR,3500907,SAO JOSE DO RIO PRET,SBSR,-,43.45
ALTAIR,3500907,BARRETOS,SBBT,83625,51.63
ALTINÓPOLIS,3501004,RIBEIRAO PRETO,SBRP,83668,41.4
ALTINÓPOLIS,3501004,FRANCA,SBFC,83630,48.92
ALTINÓPOLIS,3501004,PIRASSUNUNGA,SBYS,83671,106.07
ALTO ALEGRE,3501103,LINS,SBLN,83674,46.18
ALTO ALEGRE,3501103,ARACATUBA,SBAU,83672,59.35
ALTO ALEGRE,3501103,MARILHA - SP,SBML,-,68.75
ALUMÍNIO,3501152,SAO ROQUE,SBRQ,83058,18.91
ALUMÍNIO,3501152,CAMPINAS (AEROPORTO),SBKP,83721,60.67
ALUMÍNIO,3501152,SAO PAULO (AEROPORTO CONGONHAS),SBSP,83780,69.77
ÁLVARES FLORENCE,3501202,FRONTERA-MG,SBFT,-,77.05
ÁLVARES FLORENCE,3501202,SAO JOSE DO RIO PRET,SBSR,-,78.33
ÁLVARES FLORENCE,3501202,ARACATUBA,SBAU,83672,107.5
ÁLVARES MACHADO,3501301,PRESIDENTE PRUDENTE,SBDN,83716,12.36
ÁLVARES MACHADO,3501301,ASSIS - S,SBAS,-,124.84
ÁLVARES MACHADO,3501301,LONDRINA (AEROPORTO),SBLO,83768,138.8
ÁLVARO DE CARVALHO,3501400,MARILHA - SP,SBML,-,21.81
ÁLVARO DE CARVALHO,3501400,LINS,SBLN,83674,46.59
ÁLVARO DE CARVALHO,3501400,BAURU (AEROPORTO),SBBU,83722,72.9
ALVINLÂNDIA,3501509,MARILHA - SP,SBML,-,34.34
ALVINLÂNDIA,3501509,BAURU (AEROPORTO),SBBU,83722,72.68
ALVINLÂNDIA,3501509,ASSIS - S,SBAS,-,73.34
AMERICANA,3501608,CAMPINAS (AEROPORTO),SBKP,83721,59.68
AMERICANA,3501608,SAO CARLOS,SBSA,83726,80.99
AMERICANA,3501608,PIRASSUNUNGA,SBYS,83671,87.12
AMÉRICO BRASILIENSE,3501707,ARARAQUARA-S,SBAQ,-,13.5
AMÉRICO BRASILIENSE,3501707,SAO CARLOS,SBSA,83726,36.99
AMÉRICO BRASILIENSE,3501707,GAVIAO PEIXOTO,SBGP,-,38.62
AMÉRICO DE CAMPOS,3501806,FRONTERA-MG,SBFT,-,61.42
AMÉRICO DE CAMPOS,3501806,SAO JOSE DO RIO PRET,SBSR,-,68.6
AMÉRICO DE CAMPOS,3501806,ARACATUBA,SBAU,83672,116.1
AMPARO,3501905,CAMPINAS (AEROPORTO),SBKP,83721,47.48
AMPARO,3501905,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,87.34
AMPARO,3501905,SAO PAULO,SBXP,83781,91.4
ANALÂNDIA,3502002,SAO CARLOS,SBSA,83726,22.72
ANALÂNDIA,3502002,PIRASSUNUNGA,SBYS,83671,40.6
ANALÂNDIA,3502002,ARARAQUARA-S,SBAQ,-,58.69
ANDRADINA,3502101,URUBUPUNGA,SBUP,83617,25.27
ANDRADINA,3502101,ARACATUBA,SBAU,83672,99.02
ANDRADINA,3502101,PRESIDENTE PRUDENTE,SBDN,83716,149.95
ANGATUBA,3502200,SAO ROQUE,SBRQ,83058,136.87
ANGATUBA,3502200,BAURU (AEROPORTO),SBBU,83722,139.12
ANGATUBA,3502200,CAMPINAS (AEROPORTO),SBKP,83721,145.21
ANHEMBI,3502309,SAO CARLOS,SBSA,83726,92.33
ANHEMBI,3502309,BAURU (AEROPORTO),SBBU,83722,106.31
ANHEMBI,3502309,CAMPINAS (AEROPORTO),SBKP,83721,110.32
ANHUMAS,3502408,PRESIDENTE PRUDENTE,SBDN,83716,20.46
ANHUMAS,3502408,ASSIS - S,SBAS,-,105.06
ANHUMAS,3502408,LONDRINA (AEROPORTO),SBLO,83768,110.99
APARECIDA,3502507,GUARATINGUETA (AEROPORTO),SBGW,83708,17.01
APARECIDA,3502507,PINDAMONHANGABA,SBPW,83706,24.59
APARECIDA,3502507,TAUBATE-SP (BASE AVIACAO TAUBATE,SBTA,-,28.81
APARECIDA D'OESTE,3502606,URUBUPUNGA,SBUP,83617,76.37
APARECIDA D'OESTE,3502606,ARACATUBA,SBAU,83672,88.83
APARECIDA D'OESTE,3502606,SAO JOSE DO RIO PRET,SBSR,-,162.43
APIAÍ,3502705,CURITIBA,SBBI,83842,116.54
APIAÍ,3502705,PARANAGUA,SBPG,83844,125.85
APIAÍ,3502705,CURITIBA (AEROPORTO),SBCT,83840,127.27
ARAÇARIGUAMA,3502754,SAO ROQUE,SBRQ,83058,11.18
ARAÇARIGUAMA,3502754,SAO PAULO,SBXP,83781,45.93
ARAÇARIGUAMA,3502754,SAO PAULO (CAMPO DE MARTE),SBMT,83779,46.34
ARAÇATUBA,3502804,ARACATUBA,SBAU,83672,15.05
ARAÇATUBA,3502804,LINS,SBLN,83674,105.38
ARAÇATUBA,3502804,URUBUPUNGA,SBUP,83617,109.15
ARAÇOIABA DA SERRA,3502903,SAO ROQUE,SBRQ,83058,54.33
ARAÇOIABA DA SERRA,3502903,CAMPINAS (AEROPORTO),SBKP,83721,81.12
ARAÇOIABA DA SERRA,3502903,SAO PAULO (AEROPORTO CONGONHAS),SBSP,83780,104.56
ARAMINA,3503000,UBERABA (AEROPORTO),SBUR,83576,44.76
ARAMINA,3503000,FRANCA,SBFC,83630,62.93
